Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,LA Metro,Inland Empire,SF Bay Area
Jan-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-91,-0.29,NA,NA,-0.54,NA,-0.01,NA,NA,0.06,NA,-0.36,-0.26,NA,NA,,-0.3,NA,-0.16,NA,-0.42,0.1,,-0.38,0,NA,-0.27,-0.58,NA,-0.13,-0.44,NA,-0.29,-0.27,-0.25,-0.1,-0.46,NA,-0.21,NA,-1,NA,NA,NA,-0.69,NA,NA,NA,0.45,NA,-0.27,NA,NA,-0.27,-0.21,NA
Feb-91,-0.25,-0.09,NA,0.26,NA,-0.1,NA,NA,-0.29,NA,-0.28,-0.02,NA,NA,,-0.24,NA,-0.2,NA,-0.38,0.12,,-0.04,-0.52,NA,-0.34,-0.4,NA,-0.3,-0.31,NA,-0.27,-0.34,-0.31,-0.32,-0.39,NA,-0.43,NA,0.03,NA,NA,NA,-0.39,NA,NA,NA,0.49,NA,-0.27,NA,NA,-0.28,-0.29,NA
Mar-91,-0.13,-0.17,NA,0.44,NA,-0.06,NA,NA,-0.11,NA,-0.52,0.12,NA,NA,,-0.07,NA,-0.2,NA,-0.5,-0.54,,-0.28,-0.02,NA,-0.2,-0.52,NA,-0.34,-0.21,NA,-0.39,-0.34,-0.16,-0.31,-0.27,NA,-0.3,NA,-0.11,NA,NA,NA,0.13,NA,NA,NA,-0.03,NA,-0.07,NA,NA,-0.18,-0.37,NA
Apr-91,0.01,0.19,NA,1.4,NA,0.16,NA,NA,-0.11,NA,-0.23,0.14,NA,NA,,0.14,NA,0.12,NA,-1,0.5,,-0.02,-0.02,NA,0.18,-0.44,NA,-0.07,-0.18,NA,-0.24,-0.08,0.39,-0.05,-0.06,NA,-0.08,NA,0.22,NA,NA,NA,0.27,NA,NA,NA,-0.08,NA,0.3,NA,NA,0.08,-0.16,NA
May-91,0.1,0.37,NA,1.2,NA,0.63,NA,NA,-0.06,NA,0.3,-0.03,NA,NA,,0.12,NA,0.29,NA,-0.45,-0.13,,0.39,0.4,NA,0.2,-0.5,NA,0.02,-0.14,NA,-0.06,0.02,0.34,-0.17,0.68,NA,-0.05,NA,0.49,NA,NA,NA,-0.05,NA,NA,NA,0.02,NA,0.4,NA,NA,0.12,-0.02,NA
Jun-91,0.09,0.23,NA,-0.41,NA,0.1,NA,NA,0.08,NA,0.23,0.03,NA,NA,,0.14,NA,0.08,NA,0.37,0.3,,0.13,-0.03,NA,0.05,-0.5,NA,-0.02,-0.26,NA,-0.14,0.12,0.34,-0.27,-0.16,NA,-0.04,NA,0.42,NA,NA,NA,-0.13,NA,NA,NA,-0.16,NA,0.44,NA,NA,0.09,-0.08,NA
Jul-91,0.01,0.37,NA,-0.34,NA,-0.02,NA,NA,-0.23,NA,0.42,-0.03,NA,NA,,0.22,NA,0.42,NA,0.05,-0.05,,0.06,0.17,NA,0.08,-0.32,NA,-0.17,-0.32,NA,-0.13,0.18,0.3,-0.15,0.04,NA,-0.01,NA,0.98,NA,NA,NA,-0.14,NA,NA,NA,-0.35,NA,0.38,NA,NA,0.11,-0.15,NA
Aug-91,-0.04,-0.1,NA,-0.16,NA,-0.07,NA,NA,-0.22,NA,-0.24,-0.26,NA,NA,,0.08,NA,0.03,NA,-0.08,0,,0.01,0.08,NA,-0.06,-0.44,NA,-0.24,-0.24,NA,-0.12,-0.11,0.15,-0.15,0.45,NA,-0.03,NA,0.15,NA,NA,NA,0.08,NA,NA,NA,-0.04,NA,0.24,NA,NA,-0.02,-0.18,NA
Sep-91,-0.06,0.01,NA,-0.06,NA,0,NA,NA,-0.03,NA,0.11,0.13,NA,NA,,0.07,NA,0.13,NA,-0.18,-0.18,,-0.19,0.09,NA,0.08,-0.12,NA,-0.19,-0.11,NA,-0.16,-0.11,0.06,-0.4,0,NA,-0.04,NA,0.6,NA,NA,NA,-0.34,NA,NA,NA,-0.06,NA,0.1,NA,NA,0.01,-0.17,NA
Oct-91,-0.06,0.18,NA,-0.61,NA,-0.06,NA,NA,-0.16,NA,-0.22,-0.01,NA,NA,,-0.12,NA,0.07,NA,0.53,-0.04,,0.58,-0.11,NA,0.1,-0.11,NA,-0.11,0.1,NA,-0.29,-0.08,0.14,-0.15,0.14,NA,0,NA,0.6,NA,NA,NA,0.09,NA,NA,NA,-0.13,NA,0.07,NA,NA,-0.09,-0.2,NA
Nov-91,0,0,NA,0.3,NA,-0.04,NA,NA,-0.25,NA,0.28,-0.16,NA,NA,,-0.08,NA,0.05,NA,-0.45,-0.2,,0.32,0.23,NA,0.09,0.01,NA,-0.13,0.12,NA,-0.05,0.13,0.14,-0.05,0.18,NA,-0.13,NA,0.66,NA,NA,NA,-0.44,NA,NA,NA,0.06,NA,-0.14,NA,NA,-0.06,-0.09,NA
Dec-91,0.03,0.24,NA,0.71,NA,0.22,NA,NA,0,NA,0.45,-0.04,NA,NA,,0.03,NA,0.22,NA,-0.17,-0.22,,0.68,0.17,NA,0.21,-0.03,NA,-0.11,0.27,NA,-0.03,0.25,0.34,0.04,0.05,NA,0.02,NA,0.92,NA,NA,NA,-0.21,NA,NA,NA,0.39,NA,0.13,NA,NA,0.05,-0.07,NA
Jan-92,0.1,0.02,NA,0.43,NA,0.17,NA,NA,-0.04,NA,0.63,0.01,NA,NA,,0.01,NA,0.03,NA,0.67,-0.09,,0.11,0.05,NA,0.09,0.73,NA,-0.07,0.34,NA,-0.06,0.07,0.42,-0.18,0.41,0.1,-0.16,NA,NA,NA,NA,NA,0.23,NA,NA,NA,-0.08,NA,0.33,NA,NA,0.03,-0.06,NA
Feb-92,0.19,0.07,NA,0.17,NA,0.27,NA,NA,0.46,NA,0.09,-0.13,NA,NA,,0.35,NA,0.64,NA,0.63,0.16,,0.47,0.38,NA,0.58,0.24,NA,-0.19,0.2,NA,-0.03,0.07,0.31,-0.11,0,0.13,0.5,NA,0.42,NA,NA,NA,-0.01,NA,NA,NA,-0.11,NA,0.15,NA,NA,0.28,-0.12,NA
Mar-92,0.1,0.24,NA,0.42,NA,0.09,NA,NA,0.42,NA,0.67,-0.06,NA,NA,,-0.01,NA,-0.01,NA,0.75,0.15,,0.5,0.26,NA,0.14,0.49,NA,0.12,0.09,NA,0.14,0.28,0.2,0.17,0.12,0.31,0.25,NA,0.99,NA,NA,NA,-0.29,NA,NA,NA,0.03,NA,0.06,NA,NA,0.06,0.13,NA
Apr-92,-0.02,0.16,NA,0.4,NA,-0.03,NA,NA,0.23,NA,0.84,-0.22,NA,NA,,-0.12,NA,0.34,NA,NA,-0.16,,0.37,1.09,NA,-0.02,0.84,NA,-0.08,0.14,NA,-0.08,0.15,-0.01,-0.03,0.16,0.17,0.13,NA,0.19,NA,NA,NA,-0.25,NA,NA,NA,-0.02,NA,0.05,NA,NA,-0.08,-0.08,NA
May-92,-0.07,-0.14,NA,-0.12,NA,-0.17,NA,NA,0.15,NA,0.1,-0.29,NA,NA,,-0.2,NA,-0.01,NA,1.18,0.2,,-0.04,-0.14,NA,0,0.28,NA,-0.17,-0.15,NA,-0.19,-0.11,-0.05,-0.07,-0.08,-0.05,-0.08,NA,0.21,NA,NA,NA,-0.11,NA,NA,NA,-0.24,NA,-0.23,NA,NA,-0.16,-0.18,NA
Jun-92,-0.15,-0.13,NA,0.29,NA,-0.31,NA,NA,-0.14,NA,0.03,-0.16,NA,NA,,-0.15,NA,0.12,NA,0.92,-0.18,,0.14,0.03,NA,0.15,0.02,NA,-0.23,-0.18,NA,-0.24,-0.06,0.02,0.01,-0.09,-0.02,0.01,NA,-0.08,NA,NA,NA,-0.03,NA,NA,NA,-0.12,NA,-0.11,NA,NA,-0.11,-0.23,NA
Jul-92,-0.11,-0.09,NA,-0.04,NA,-0.16,NA,NA,0.29,NA,-0.11,-0.4,NA,NA,,-0.18,NA,-0.01,NA,-0.57,-0.27,,0.27,-0.26,NA,-0.06,0.12,NA,0.06,-0.07,NA,0.03,-0.15,0.04,0.05,-0.1,-0.15,0.01,NA,-0.18,NA,NA,NA,-0.16,NA,NA,NA,0.3,NA,-0.05,NA,NA,-0.1,0.05,NA
Aug-92,-0.09,0.06,NA,-0.03,NA,-0.39,NA,NA,-0.06,NA,0.29,-0.18,NA,NA,,-0.21,NA,-0.09,NA,0.04,-0.05,,-0.2,-0.16,NA,-0.1,0.16,NA,-0.16,-0.17,NA,-0.33,-0.15,-0.08,-0.11,-0.43,-0.01,-0.22,NA,-0.09,NA,NA,NA,-0.3,NA,NA,NA,-0.2,NA,-0.38,NA,NA,-0.21,-0.25,NA
Sep-92,-0.03,0.24,NA,-0.05,NA,-0.17,NA,NA,-0.13,NA,0.04,-0.39,NA,NA,,-0.08,NA,0.14,NA,1.86,0.13,,0.31,0.11,NA,0.11,0.32,NA,-0.05,0.11,NA,-0.13,0.11,0.09,0.18,0,0.38,0.15,NA,0.2,NA,NA,NA,0.31,NA,NA,NA,-0.11,NA,0.06,NA,NA,-0.03,-0.09,NA
Oct-92,0.05,-0.05,NA,1.27,NA,-0.12,NA,NA,0.13,NA,-0.24,-0.43,NA,NA,,-0.07,NA,0.52,NA,-0.31,0.14,,-0.08,0.46,NA,0.47,0.64,NA,-0.1,-0.01,NA,0,0.05,0.17,0,0.27,0.12,0.16,NA,0.26,NA,NA,NA,-0.1,NA,NA,NA,0.1,NA,0,NA,NA,0.05,-0.06,NA
Nov-92,0.13,0.18,NA,0,NA,-0.17,NA,NA,0.27,NA,-0.13,-0.08,NA,NA,,-0.01,NA,0.49,NA,0.5,0,,0.32,-0.33,NA,0.26,0.35,NA,-0.04,0.17,NA,-0.22,0.12,0.33,0.05,0.15,0.3,0.5,NA,0.05,NA,NA,NA,0.11,NA,NA,NA,-0.32,NA,0.28,NA,NA,0.05,-0.13,NA
Dec-92,0.17,0.12,NA,0,NA,0.11,NA,NA,0.33,NA,0.38,0.16,NA,NA,,0.17,NA,0.98,NA,-0.24,0.32,,0.29,0.29,NA,0.42,1.04,NA,0.11,0.23,NA,0.05,0.54,0.41,0.35,0.51,0.26,0.61,NA,0.33,NA,NA,NA,0.65,NA,NA,NA,-0.01,NA,0.21,NA,NA,0.2,0.08,NA
Jan-93,0.02,0.04,NA,-0.27,NA,-0.38,NA,NA,0.11,NA,-0.35,-0.28,NA,NA,,0.01,NA,0.27,NA,-0.52,-0.16,,0.15,-0.2,NA,0.64,-0.01,NA,-0.19,-0.13,NA,-0.12,0.05,0.21,0.24,-0.08,-0.14,0.38,NA,0.14,NA,0.1,NA,0.09,-0.13,NA,NA,-0.06,NA,0.06,NA,NA,0.1,-0.15,NA
Feb-93,-0.12,0.07,NA,0.09,NA,-0.46,NA,NA,-0.28,NA,0.1,-0.08,NA,NA,,-0.23,NA,-0.25,NA,-0.08,-0.33,,-0.27,0.16,NA,-0.25,-0.16,NA,0.11,-0.07,NA,-0.01,0.06,0.13,0.07,0.35,0.06,-0.14,NA,0.13,NA,0.17,NA,0.16,0,NA,NA,-0.22,NA,0.21,NA,NA,-0.16,0.05,NA
Mar-93,-0.11,-0.14,NA,-0.21,NA,-0.42,NA,NA,-0.15,NA,-0.03,-0.23,NA,NA,,0,NA,0.48,NA,-0.38,-0.46,,-0.19,-0.22,NA,-0.07,0.06,NA,-0.17,-0.09,NA,-0.12,-0.09,-0.04,-0.07,0.18,-0.03,0.05,NA,-0.22,NA,-0.42,NA,0.03,0.06,NA,NA,-0.07,NA,0.13,NA,NA,-0.04,-0.15,NA
Apr-93,-0.13,-0.27,NA,-0.29,NA,-0.26,NA,NA,-0.02,NA,-0.18,-0.1,NA,NA,,-0.01,NA,-0.15,NA,-0.09,-0.08,,-0.13,-0.37,NA,-0.13,-0.32,NA,-0.39,-0.11,NA,-0.14,-0.08,-0.06,-0.24,-0.19,-0.13,-0.06,NA,-0.05,NA,-0.21,NA,-0.05,-0.18,NA,NA,-0.03,NA,0.06,NA,NA,-0.09,-0.28,NA
May-93,-0.07,-0.17,NA,-0.22,NA,-0.36,NA,NA,-0.15,NA,-0.07,-0.16,NA,NA,,-0.17,NA,-0.12,NA,0.19,0.09,,-0.04,-0.2,NA,-0.11,-0.07,NA,-0.3,0.08,NA,-0.22,0.08,-0.13,0.11,-0.21,-0.26,-0.21,NA,-0.2,NA,-0.35,NA,-0.19,0.02,NA,NA,-0.01,NA,-0.04,NA,NA,-0.17,-0.26,NA
Jun-93,0.01,-0.05,NA,0.17,NA,0.12,NA,NA,-0.1,NA,0.01,-0.01,NA,NA,,-0.12,NA,0.08,NA,-0.34,0,,0.01,-0.15,NA,-0.01,0.45,NA,-0.04,0.27,NA,0.22,0.15,0.06,0.29,0.02,0.05,0.16,NA,0.05,NA,0.13,NA,-0.02,-0.1,NA,NA,0.03,NA,0.11,NA,NA,-0.04,0.08,NA
Jul-93,0.11,0.05,NA,-0.01,NA,0.09,NA,NA,0.1,NA,-0.23,0.13,NA,NA,,-0.12,NA,0.1,NA,1.6,0.06,,-0.08,0.57,NA,0.24,0.25,NA,-0.17,0.16,NA,-0.03,0.19,0.19,-0.17,0.41,0.16,0.18,NA,0.16,NA,-0.1,NA,0.12,0,NA,NA,-0.2,NA,0.08,NA,NA,-0.02,-0.11,NA
Aug-93,0.16,0.03,NA,0.32,NA,0.19,NA,NA,0.22,NA,0.22,-0.07,NA,NA,,0.1,NA,0.47,NA,0.38,0.03,,0.43,-0.08,NA,0.52,0.27,NA,0.16,0.25,NA,0.26,0.37,-0.08,0.05,0.73,0.19,0.47,NA,0.38,NA,-0.02,NA,0.42,0.29,NA,NA,0.07,NA,0.73,NA,NA,0.28,0.21,NA
Sep-93,0.16,0.14,NA,0.03,NA,0.21,NA,NA,0.26,NA,0.14,-0.07,NA,NA,,0.09,NA,0.16,NA,-0.23,0.23,,0.24,-0.17,NA,0.27,0.33,NA,0.26,0.27,NA,0.1,0.31,0.26,0.36,0.06,0.09,0.44,NA,0.24,NA,0.11,NA,-0.04,0.01,NA,NA,-0.02,NA,0.32,NA,NA,0.18,0.18,NA
Oct-93,0.08,0.14,NA,0.08,NA,0.12,NA,NA,0.04,NA,0.53,0.03,NA,NA,,0.11,NA,0.04,NA,0.4,-0.17,,-0.24,-0.07,NA,-0.15,0.06,NA,0.03,0.13,NA,0.1,0.08,0.04,0.09,-0.02,0.11,0.05,NA,-0.12,NA,-0.08,NA,0.03,-0.04,NA,NA,0.15,NA,0.15,NA,NA,0.03,0.06,NA
Nov-93,0.06,0.06,NA,0.03,NA,0.11,NA,NA,0.13,NA,0.06,0.06,NA,NA,,0.18,NA,0.06,NA,0.54,0.63,,-0.05,0.18,NA,-0.09,0.25,NA,0.31,0.22,NA,0.32,0.17,0.04,0.23,-0.06,0.21,0.16,NA,-0.03,NA,-0.22,NA,0.32,NA,NA,NA,0.48,NA,0.2,NA,NA,0.14,0.32,NA
Dec-93,0.12,0.25,NA,0.01,NA,-0.13,NA,NA,0.1,NA,0.18,-0.12,NA,NA,,0.18,NA,0.05,NA,0.95,0.11,,0.2,0.19,NA,-0.06,0.29,NA,0.51,0.09,NA,0.16,-0.01,-0.02,0.17,0.06,0.31,0.27,NA,0.05,NA,0.14,NA,0.06,0.02,NA,NA,0.41,NA,0.28,NA,NA,0.16,0.33,NA
Jan-94,0.3,0.14,NA,0.59,NA,0.11,NA,NA,0.71,NA,0.21,0.28,NA,NA,,0.28,NA,0.08,NA,1,-0.19,,0.36,0.17,NA,-0.1,0.17,NA,0.46,0.16,NA,0.21,0.44,0.04,0.07,0.37,0.73,0.04,0.09,0.09,NA,-0.71,NA,0.03,0.35,NA,NA,0.13,NA,-0.03,NA,NA,0.15,0.33,NA
Feb-94,0.25,0.31,NA,-0.11,NA,0.42,NA,NA,0.13,NA,0.51,0,NA,NA,,0.38,NA,0.37,NA,0.67,0.72,,0.34,0.24,NA,0.26,0.51,NA,0.33,0.32,NA,0.17,0.41,0.09,0.21,0.29,0.42,0.53,-0.16,0.26,NA,-0.59,NA,0.1,-0.07,NA,NA,0.17,NA,0.37,NA,NA,0.33,0.26,NA
Mar-94,0.32,0.34,NA,-0.08,NA,0.53,NA,NA,0.27,NA,0.81,0.43,NA,NA,,0.35,NA,0.56,NA,2.38,0.47,,0.56,0.45,NA,0.35,0.18,NA,0.75,0.4,NA,0.31,0.56,-0.11,0.19,0.31,0.46,0.49,0.15,0.24,NA,-0.18,NA,0.4,0.06,NA,NA,0.28,NA,0.33,NA,NA,0.38,0.53,NA
Apr-94,0.38,0.33,NA,-0.13,NA,0.01,NA,NA,0.22,NA,0.34,-0.09,NA,NA,,0.25,NA,0.26,NA,0.34,0.45,,0.32,0.14,NA,0.4,0.87,NA,1.15,0.21,NA,0.26,0.31,0.18,0.49,0.78,0.45,0.32,0.22,0.23,NA,-0.65,NA,0.21,0.23,NA,NA,0.23,NA,0.19,NA,NA,0.35,0.67,NA
May-94,0.26,0.23,NA,0.32,NA,0.01,NA,NA,0.25,NA,-0.13,0.32,NA,NA,,0.32,NA,0.39,NA,-0.32,-0.1,,0.12,0.27,NA,0.41,0.2,NA,0.79,0.07,NA,0.37,0.33,0.01,0.03,0.19,0.44,0.54,0.25,0.39,NA,-0.67,NA,0.8,0.06,NA,NA,0.41,NA,0.34,NA,NA,0.39,0.58,NA
Jun-94,0.23,0.25,NA,-0.22,NA,0.09,NA,NA,0.46,NA,0.16,-0.07,NA,NA,,0.3,NA,-0.01,NA,0.03,0.25,,0.25,0.24,NA,0.3,0.06,NA,0.45,-0.01,NA,0.05,0.13,0.27,-0.01,0.52,0.45,0.16,0.12,0.44,NA,-0.67,NA,0.16,0.22,NA,NA,0.47,NA,0.29,NA,NA,0.29,0.25,NA
Jul-94,0.07,0.03,NA,0.04,NA,0.01,NA,NA,-0.08,NA,0.09,-0.22,NA,NA,,0.21,NA,-0.05,NA,0.42,0.2,,-0.02,-0.47,NA,0.04,-0.1,NA,0.2,-0.04,NA,-0.14,-0.02,-0.14,0.34,0.01,0.15,-0.07,-0.01,0.05,NA,-0.52,NA,0.04,0.08,NA,NA,0,NA,-0.01,NA,NA,0.1,0.03,NA
Aug-94,0.05,0.18,NA,-0.2,NA,0.1,NA,NA,-0.02,NA,0.06,-0.08,NA,NA,,0.22,NA,-0.02,NA,0,-0.21,,-0.09,0.31,NA,0.09,0.05,NA,0.35,-0.02,NA,0.03,0.09,0.15,0.2,0.02,-0.01,0.1,0.03,0.06,NA,-0.39,NA,-0.08,-0.1,NA,NA,-0.26,NA,0.1,NA,NA,0.17,0.21,NA
Sep-94,-0.03,0.04,NA,-0.12,NA,-0.01,NA,NA,-0.02,NA,-0.39,-0.05,NA,NA,,0.15,NA,0.03,NA,-0.1,0.2,,-0.04,-0.08,NA,-0.06,-0.22,NA,0.23,-0.13,NA,0.05,0.01,0.06,-0.29,0.24,0.09,0.12,-0.18,0.1,NA,-0.71,NA,-0.1,-0.06,NA,NA,-0.16,NA,0.11,NA,NA,0.09,0.15,NA
Oct-94,0.02,0.1,NA,-0.23,NA,-0.17,NA,NA,-0.05,NA,-0.12,-0.12,NA,NA,,0.05,NA,-0.03,NA,0.07,-0.03,,0.11,-0.27,NA,0.11,-0.03,NA,0.23,-0.22,NA,0.03,-0.01,-0.03,0.09,-0.05,-0.07,-0.19,-0.09,0.26,NA,-0.68,NA,0.13,-0.17,NA,NA,-0.32,NA,0.01,NA,NA,0.08,0.13,NA
Nov-94,-0.05,0.14,NA,-0.14,NA,-0.07,NA,NA,0.01,NA,0.31,-0.16,NA,NA,,0.15,NA,-0.09,NA,-0.11,0,,-0.25,-0.07,NA,0.26,-0.23,NA,0.12,-0.25,NA,0.03,-0.14,0,-0.2,0.39,-0.34,-0.09,-0.03,0.12,NA,-0.48,NA,-0.16,-0.02,NA,NA,-0.4,NA,-0.01,NA,NA,0.14,0.08,NA
Dec-94,-0.14,-0.11,NA,0.16,NA,-0.14,NA,NA,-0.17,NA,-0.28,-0.15,NA,NA,,-0.05,NA,-0.25,NA,-0.46,-0.42,,-0.27,-0.33,NA,0.05,-0.44,NA,0.05,-0.22,NA,0.03,-0.2,-0.28,-0.29,-0.1,-0.15,-0.24,-0.06,0.05,NA,-0.76,NA,-0.22,-0.1,NA,NA,-0.33,NA,-0.23,NA,NA,-0.03,0.04,NA
Jan-95,-0.21,-0.07,NA,-0.51,NA,-0.21,NA,NA,-0.42,NA,0.06,-0.15,NA,-0.47,,0.03,NA,-0.13,NA,-0.33,-0.21,,-0.35,-0.21,NA,-0.18,-0.26,NA,0.05,-0.32,NA,-0.17,-0.37,-0.16,-0.44,-0.05,-0.26,-0.16,-0.16,-0.15,NA,0,-0.3,-0.35,-0.1,NA,NA,0.06,NA,-0.06,NA,NA,-0.04,-0.05,NA
Feb-95,-0.2,-0.2,NA,-0.19,NA,-0.17,NA,NA,0.03,NA,-0.05,-0.15,NA,-0.38,,-0.08,NA,-0.2,NA,0.2,-0.38,,-0.3,-0.59,NA,-0.19,-0.08,NA,-0.08,-0.36,NA,0.13,-0.35,-0.25,-0.1,-0.32,-0.23,-0.31,-0.26,-0.45,NA,-0.35,-0.11,-0.28,-0.06,NA,NA,-0.13,NA,-0.33,NA,NA,-0.11,0.01,NA
Mar-95,-0.24,-0.2,NA,-0.06,NA,-0.3,NA,NA,-0.09,NA,-0.54,-0.24,NA,-0.3,,-0.12,NA,-0.4,NA,-0.61,-0.08,,-0.33,-0.34,NA,-0.29,-0.17,NA,-0.07,-0.35,NA,0,-0.33,0.24,0.01,-0.32,-0.36,-0.35,-0.33,-0.38,NA,-0.37,0.04,-0.42,-0.17,NA,NA,-0.32,NA,-0.26,NA,NA,-0.16,-0.04,NA
Apr-95,-0.27,-0.26,NA,0.16,NA,-0.38,NA,NA,-0.29,NA,-0.42,-0.39,NA,-0.61,,-0.14,NA,-0.35,NA,-0.35,-0.13,,-0.46,-0.49,NA,-0.37,-0.51,NA,-0.18,-0.39,NA,-0.05,-0.39,-0.38,-0.32,-0.39,-0.39,-0.42,-0.33,-0.29,NA,0.29,-0.46,-0.43,NA,NA,NA,-0.32,NA,-0.37,NA,NA,-0.21,-0.13,NA
May-95,-0.22,-0.19,NA,-0.18,NA,-0.13,NA,NA,-0.16,NA,0.33,0.04,NA,-0.15,,-0.03,NA,-0.14,NA,0.13,-0.28,,-0.39,-0.32,NA,-0.35,-0.16,NA,-0.06,-0.26,NA,0.03,-0.32,-0.06,-0.37,-0.12,-0.28,-0.33,-0.21,-0.36,NA,0,-0.31,-0.44,-0.32,NA,NA,-0.18,NA,-0.28,NA,NA,-0.13,-0.02,NA
